Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
0	6	1	67	0.056	
0	6	1	97	0.110	
0	6	1	71	0.108	
0	6	1	71	0.128	
0	6	1	70	0.088	
1	6	1	250	0.117	
1	6	1	250	0.143	
1	6	1	70	0.107	
1	6	1	69	0.158	
1	6	1	69	0.106	
2	6	1	250	1.650	
2	6	1	250	1.223	
2	6	1	29	0.073	
2	6	1	70	0.109	
2	6	1	69	0.095	
3	6	1	250	0.135	
3	6	1	250	0.232	
3	6	1	71	0.167	
3	6	1	70	0.197	
3	6	1	71	0.208	
4	6	1	133	0.074	
4	6	1	161	0.073	
4	6	1	54	0.074	
4	6	1	71	0.100	
4	6	1	75	0.097	
5	6	1	250	1.579	
5	6	1	250	0.980	
5	6	1	68	0.185	
5	6	1	68	0.185	
5	6	1	68	0.184	
6	6	1	43	0.073	
6	6	1	107	0.097	
6	6	1	72	0.117	
6	6	1	73	0.110	
6	6	1	71	0.113	
7	6	1	250	1.650	
7	6	1	250	1.752	
7	6	1	71	0.091	
7	6	1	72	0.107	
7	6	1	86	0.103	
8	6	1	73	0.133	
8	6	1	73	0.123	
8	6	1	70	0.116	
8	6	1	69	0.134	
8	6	1	69	0.102	
9	6	1	71	0.130	
9	6	1	68	0.159	
9	6	1	68	0.212	
9	6	1	68	0.156	
9	6	1	68	0.101	
10	6	1	250	0.229	
10	6	1	250	0.211	
10	6	1	70	0.097	
10	6	1	70	0.138	
10	6	1	71	0.144	
11	6	1	70	0.182	
11	6	1	70	0.179	
11	6	1	68	0.165	
11	6	1	70	0.149	
11	6	1	68	0.165	
12	6	1	214	0.076	
12	6	1	210	0.080	
12	6	1	55	0.049	
12	6	1	71	0.112	
12	6	1	55	0.055	
13	6	1	73	0.081	
13	6	1	73	0.130	
13	6	1	67	0.124	
13	6	1	68	0.116	
13	6	1	68	0.145	
14	6	1	95	0.124	
14	6	1	84	0.180	
14	6	1	69	0.133	
14	6	1	55	0.074	
14	6	1	69	0.157	
15	6	1	72	0.223	
15	6	1	72	0.250	
15	6	1	70	0.157	
15	6	1	71	0.209	
15	6	1	71	0.208	
16	6	1	87	0.195	
16	6	1	95	0.117	
16	6	1	69	0.103	
16	6	1	39	0.074	
16	6	1	71	0.105	
17	6	1	86	0.145	
17	6	1	71	0.245	
17	6	1	69	0.121	
17	6	1	69	0.127	
17	6	1	69	0.079	
18	6	1	250	1.103	
18	6	1	250	0.978	
18	6	1	68	0.107	
18	6	1	68	0.101	
18	6	1	68	0.110	
19	6	1	250	0.076	
19	6	1	212	0.074	
19	6	1	47	0.073	
19	6	1	75	0.075	
19	6	1	47	0.065	
20	6	1	69	0.253	
20	6	1	75	0.166	
20	6	1	68	0.250	
20	6	1	68	0.250	
20	6	1	68	0.245	
21	6	1	76	0.188	
21	6	1	72	0.204	
21	6	1	70	0.106	
21	6	1	72	0.140	
21	6	1	70	0.166	
22	6	1	250	1.292	
22	6	1	250	0.687	
22	6	1	69	0.083	
22	6	1	69	0.089	
22	6	1	38	0.063	
23	6	1	49	0.096	
23	6	1	202	0.088	
23	6	1	29	0.110	
23	6	1	29	0.117	
23	6	1	29	0.117	
24	6	1	74	0.112	
24	6	1	76	0.137	
24	6	1	71	0.080	
24	6	1	72	0.129	
24	6	1	72	0.106	
25	6	1	250	1.379	
25	6	1	250	0.776	
25	6	1	68	0.158	
25	6	1	68	0.099	
25	6	1	68	0.158	
26	6	1	69	0.120	
26	6	1	69	0.120	
26	6	1	69	0.133	
26	6	1	69	0.126	
26	6	1	69	0.116	
27	6	1	94	0.160	
27	6	1	104	0.138	
27	6	1	69	0.148	
27	6	1	70	0.120	
27	6	1	70	0.120	
28	6	1	250	0.230	
28	6	1	250	0.958	
28	6	1	68	0.121	
28	6	1	68	0.126	
28	6	1	68	0.141	
29	6	1	250	0.118	
29	6	1	177	0.076	
29	6	1	41	0.094	
29	6	1	42	0.111	
29	6	1	41	0.077	
30	6	1	206	0.104	
30	6	1	131	0.073	
30	6	1	71	0.121	
30	6	1	72	0.107	
30	6	1	72	0.090	
31	6	1	80	0.152	
31	6	1	83	0.097	
31	6	1	69	0.134	
31	6	1	70	0.114	
31	6	1	70	0.145	
32	6	1	250	0.822	
32	6	1	250	1.114	
32	6	1	68	0.104	
32	6	1	68	0.115	
32	6	1	68	0.093	
33	6	1	60	0.057	
33	6	1	58	0.073	
33	6	1	33	0.052	
33	6	1	33	0.057	
33	6	1	35	0.075	
34	6	1	69	0.137	
34	6	1	69	0.137	
34	6	1	68	0.157	
34	6	1	68	0.157	
34	6	1	68	0.157	
35	6	1	92	0.102	
35	6	1	93	0.114	
35	6	1	73	0.087	
35	6	1	71	0.096	
35	6	1	72	0.089	
36	6	1	113	0.174	
36	6	1	86	0.191	
36	6	1	68	0.199	
36	6	1	68	0.207	
36	6	1	68	0.207	
37	6	1	250	0.567	
37	6	1	250	0.362	
37	6	1	70	0.117	
37	6	1	72	0.101	
37	6	1	71	0.080	
38	6	1	250	1.060	
38	6	1	250	1.345	
38	6	1	70	0.123	
38	6	1	70	0.097	
38	6	1	69	0.096	
39	6	1	89	0.082	
39	6	1	100	0.145	
39	6	1	69	0.100	
39	6	1	69	0.147	
39	6	1	68	0.166	
40	6	1	115	0.464	
40	6	1	98	0.450	
40	6	1	68	0.336	
40	6	1	68	0.336	
40	6	1	68	0.347	
41	6	1	68	0.255	
41	6	1	71	0.273	
41	6	1	68	0.201	
41	6	1	68	0.219	
41	6	1	68	0.202	
42	6	1	68	0.656	
42	6	1	68	0.656	
42	6	1	68	0.647	
42	6	1	68	0.647	
42	6	1	68	0.647	
43	6	1	250	0.132	
43	6	1	250	0.100	
43	6	1	39	0.069	
43	6	1	72	0.086	
43	6	1	71	0.078	
44	6	1	236	0.075	
44	6	1	195	0.074	
44	6	1	72	0.108	
44	6	1	71	0.147	
44	6	1	70	0.097	
45	6	1	57	0.075	
45	6	1	80	0.102	
45	6	1	30	0.079	
45	6	1	70	0.107	
45	6	1	69	0.077	
46	6	1	194	0.076	
46	6	1	90	0.074	
46	6	1	69	0.104	
46	6	1	70	0.094	
46	6	1	71	0.123	
47	6	1	90	0.063	
47	6	1	83	0.072	
47	6	1	41	0.072	
47	6	1	42	0.061	
47	6	1	72	0.086	
48	6	1	73	0.151	
48	6	1	76	0.149	
48	6	1	70	0.084	
48	6	1	69	0.159	
48	6	1	69	0.116	
49	6	1	250	0.122	
49	6	1	250	0.216	
49	6	1	73	0.115	
49	6	1	74	0.087	
49	6	1	55	0.056	
50	6	1	250	0.846	
50	6	1	250	0.825	
50	6	1	70	0.249	
50	6	1	70	0.184	
50	6	1	70	0.198	
51	6	1	250	0.622	
51	6	1	250	1.320	
51	6	1	69	0.168	
51	6	1	69	0.157	
51	6	1	70	0.204	
52	6	1	250	1.834	
52	6	1	250	1.833	
52	6	1	70	0.148	
